,exp_id,pair_id,roi_index_1,roi_type_1,roi_index_2,roi_type_2,corr_r,corr_p,corr_deconv_r,corr_deconv_p,corr_noise_r,corr_noise_p,corr_event_r,corr_event_p,n_events_x,n_events_joint,n_events_roi_1,n_events_roi_2,dist,roi_id_1,roi_id_2,roi_id,roi_type,n_events_y,events_per_min,mean_event_dFonF0_amp,std_nonevent_dFonF0,snr,exp_index,implant_date,zstack_id,fibre,lens,orientation,maze_session_num,bad_2p_frames,bad_behav_times,primary_exp,exclude,Notes_x,animal_id,fps_2p,short_id,dob,sex,strain,gcamp,celltype,virus_id,hemisphere,injection_date,has_serial2p,Notes_y
10,20221003_14_36_54_1118020,20221003_14_36_54_1118020-0-36,0,soma,36,dend,0.5049324334865087,0.0,0.36460318884177684,0.0,0.6341074317091422,0.0,0.0,1.0,67,56,0,11,6.708203932499369,20221003_14_36_54_1118020_0,20221003_14_36_54_1118020_36,0,soma,65.0,2.1158854166666665,2.320651993384728,0.21126895,10.984349718771332,20,,,TFB,f6mm,90,,,,1,0,,1118020,9.765625,7f-06,	21/06/2022,m,penk,7f,penk,ADD3,L,23/8/2022,1,
11,20221003_14_36_54_1118020,20221003_14_36_54_1118020-0-40,0,soma,40,dend,0.4197129612710879,0.0,0.3206953207457257,0.0,0.5865569529198521,0.0,0.0,1.0,70,56,0,14,5.0990195135927845,20221003_14_36_54_1118020_0,20221003_14_36_54_1118020_40,0,soma,65.0,2.1158854166666665,2.320651993384728,0.21126895,10.984349718771332,20,,,TFB,f6mm,90,,,,1,0,,1118020,9.765625,7f-06,	21/06/2022,m,penk,7f,penk,ADD3,L,23/8/2022,1,
12,20221115_13_27_42_1118213,20221115_13_27_42_1118213-5-66,5,soma,66,dend,0.3989277467845839,0.0,0.4221067510172455,0.0,0.41329831872054457,0.0,0.0,1.0,209,122,27,60,33.83784863137726,20221115_13_27_42_1118213_5,20221115_13_27_42_1118213_66,5,soma,99.0,3.2226562499999996,1.4259762673666982,0.1282154,11.121723607825702,24,9/11/2022,20221109_14_50_24_1118213,TFB,f6mm,90,1.0,,,1,0,,1118213,9.765625,NP-06,	15/07/2022,m,penk x rbp4,7f,nonpenk,344,R,20/10/2022,1,
13,20210823_16_59_50_1114353,20210823_16_59_50_1114353-2-17,2,soma,17,dend,0.35261293806390565,0.0,0.21492230179999378,4.096239976629666e-187,0.3360351261477498,0.0,0.0,1.0,122,43,6,73,0.0,20210823_16_59_50_1114353_2,20210823_16_59_50_1114353_17,2,soma,50.0,1.6075102880658332,1.8784095406532288,0.2716362,6.91516676873736,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
14,20210823_16_59_50_1114353,20210823_16_59_50_1114353-2-43,2,soma,43,dend,0.3732443797886344,0.0,0.22068936545280332,1.9662038075860634e-197,0.4888486039796038,0.0,0.0,1.0,76,50,2,24,34.438350715445125,20210823_16_59_50_1114353_2,20210823_16_59_50_1114353_43,2,soma,50.0,1.6075102880658332,1.8784095406532288,0.2716362,6.91516676873736,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
15,20210823_16_59_50_1114353,20210823_16_59_50_1114353-3-106,3,soma,106,dend,0.4971379989244791,0.0,0.36190633456221727,0.0,0.5257938961146652,0.0,0.0,1.0,114,88,0,26,25.0,20210823_16_59_50_1114353_3,20210823_16_59_50_1114353_106,3,soma,84.0,2.7006172839505997,2.744009548709506,0.28685325,9.565900027149967,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
16,20210823_16_59_50_1114353,20210823_16_59_50_1114353-3-111,3,soma,111,dend,0.9057271064010868,0.0,0.7235522770885687,0.0,0.9248276608027409,0.0,0.0,1.0,91,89,0,2,0.0,20210823_16_59_50_1114353_3,20210823_16_59_50_1114353_111,3,soma,84.0,2.7006172839505997,2.744009548709506,0.28685325,9.565900027149967,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
17,20210823_16_59_50_1114353,20210823_16_59_50_1114353-4-54,4,soma,54,dend,0.3577805674074903,0.0,0.4251890733030479,0.0,0.19734544834632617,1.6944036816380327e-157,0.0,1.0,152,60,5,87,6.0,20210823_16_59_50_1114353_4,20210823_16_59_50_1114353_54,4,soma,31.0,0.9966563786008166,1.7674597751709722,0.13880374,12.733517368180001,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
18,20210823_16_59_50_1114353,20210823_16_59_50_1114353-5-66,5,soma,66,dend,0.49385802414093943,0.0,0.5466014732664848,0.0,0.34695026374150467,0.0,0.0,1.0,151,103,21,27,2.23606797749979,20210823_16_59_50_1114353_5,20210823_16_59_50_1114353_66,5,soma,63.0,2.02546296296295,1.5008288697590904,0.13157725,11.406446263639468,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
19,20210823_16_59_50_1114353,20210823_16_59_50_1114353-7-52,7,soma,52,dend,0.7854530046995546,0.0,0.44824381303802097,0.0,0.9462346801515034,0.0,0.0,1.0,152,149,2,1,3.605551275463989,20210823_16_59_50_1114353_7,20210823_16_59_50_1114353_52,7,soma,96.0,3.0864197530863997,1.2347118419905503,0.26430345,4.671569219154002,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
20,20210823_16_59_50_1114353,20210823_16_59_50_1114353-8-74,8,soma,74,dend,0.43459504983703207,0.0,0.41032186396846226,0.0,0.5305258031526432,0.0,0.0,1.0,113,83,3,27,28.284271247461902,20210823_16_59_50_1114353_8,20210823_16_59_50_1114353_74,8,soma,60.0,1.9290123456789998,1.9733360360066097,0.2071798,9.524751153795817,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
21,20210823_16_59_50_1114353,20210823_16_59_50_1114353-10-18,10,soma,18,dend,0.45571243488108226,0.0,0.18905446125537723,1.7939650047903963e-144,0.5826288515657273,0.0,0.0,1.0,124,117,0,7,54.45181356024793,20210823_16_59_50_1114353_10,20210823_16_59_50_1114353_18,10,soma,52.0,1.6718106995884665,0.9534642134721463,0.23582529,4.0430957698047285,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
22,20210823_16_59_50_1114353,20210823_16_59_50_1114353-10-29,10,soma,29,dend,0.395168764680889,0.0,0.15264893988089,2.778133089706664e-94,0.627522981230302,0.0,0.0,1.0,126,113,4,9,11.180339887498949,20210823_16_59_50_1114353_10,20210823_16_59_50_1114353_29,10,soma,52.0,1.6718106995884665,0.9534642134721463,0.23582529,4.0430957698047285,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
23,20210823_16_59_50_1114353,20210823_16_59_50_1114353-10-106,10,soma,106,dend,0.3964851305386128,0.0,0.13285754108012227,1.1196999129937318e-71,0.6077718778374912,0.0,0.0,1.0,144,93,10,41,0.0,20210823_16_59_50_1114353_10,20210823_16_59_50_1114353_106,10,soma,52.0,1.6718106995884665,0.9534642134721463,0.23582529,4.0430957698047285,1,2/8/2021,20210823_16_39_11_1114353,SFB,f4mm,0,2.0,,11:10-11:30;13:20-21:00;22:30-24:40;27:00-end,1,0,Good,1114353,9.765625,7f-01,	16/03/2021	,m,penk,7f,penk,ADD3,R,24/6/2021,1,
24,20211028_11_25_50_1115465,20211028_11_25_50_1115465-4-39,4,soma,39,dend,0.4951303774353802,0.0,0.5191134653839315,0.0,0.4242685782099316,0.0,0.0,1.0,108,60,7,41,4.0,20211028_11_25_50_1115465_4,20211028_11_25_50_1115465_39,4,soma,65.0,2.1158854166666665,1.332619926104179,0.115873285,11.500665837412376,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,
25,20211028_11_25_50_1115465,20211028_11_25_50_1115465-11-5,11,soma,5,dend,0.7402380300617762,0.0,0.5194067701589933,0.0,0.8179226110982246,0.0,0.0,1.0,141,130,1,10,0.0,20211028_11_25_50_1115465_11,20211028_11_25_50_1115465_5,11,soma,72.0,2.34375,1.8884029570553038,0.30446583,6.20234774796515,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,
26,20211028_11_25_50_1115465,20211028_11_25_50_1115465-11-52,11,soma,52,dend,0.4339526212376759,0.0,0.24049949756480984,3.472280537115065e-235,0.6542305647359624,0.0,0.0,1.0,145,129,0,16,1.0,20211028_11_25_50_1115465_11,20211028_11_25_50_1115465_52,11,soma,72.0,2.34375,1.8884029570553038,0.30446583,6.20234774796515,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,
27,20211028_11_25_50_1115465,20211028_11_25_50_1115465-11-97,11,soma,97,dend,0.3958530858547774,0.0,0.36953625312096217,0.0,0.5531682729665637,0.0,0.0,1.0,140,123,2,15,25.632011235952593,20211028_11_25_50_1115465_11,20211028_11_25_50_1115465_97,11,soma,72.0,2.34375,1.8884029570553038,0.30446583,6.20234774796515,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,
28,20211028_11_25_50_1115465,20211028_11_25_50_1115465-13-12,13,soma,12,dend,0.5241705798307323,0.0,0.4939180676024758,0.0,0.43871463488240453,0.0,0.0,1.0,121,62,9,50,0.0,20211028_11_25_50_1115465_13,20211028_11_25_50_1115465_12,13,soma,50.0,1.6276041666666665,1.2871999645233154,0.1504214,8.557293042256516,6,,20211027_14_46_16_1115465,SFB,f4mm,180,,,6:15-8:00;20:00-27:30,1,0,Good 2p. Restricted by tether at 10 mins but can still move.,1115465,9.765625,7f-03-1,5/8/2021,m,penk,7f,penk,ADD3,R,13/10/2021,1,
